symbol,timestamp,open,high,low,close,volume,trade_count,vwap,rsi,label
AAPL,2024-11-13 05:00:00+00:00,224.01,226.65,222.76,225.12,48566217.0,467219.0,224.935939,45.8986300809788,0
AAPL,2024-11-14 05:00:00+00:00,225.02,228.87,225.0,228.22,44923941.0,492068.0,227.454246,51.86317220890725,1
AAPL,2024-11-15 05:00:00+00:00,226.4,226.92,224.27,225.0,47841561.0,450639.0,225.147593,46.16937838748363,1
AAPL,2024-11-18 05:00:00+00:00,225.25,229.74,225.17,228.02,44691859.0,437922.0,228.036169,51.54264198630968,1
AMZN,2023-12-08 05:00:00+00:00,145.48,147.84,145.4,147.42,41905965.0,343829.0,146.955336,55.04710065991669,1
AMZN,2023-12-11 05:00:00+00:00,145.66,146.19,143.64,145.89,50917137.0,435267.0,145.209897,48.551731837571445,0
AMZN,2023-12-12 05:00:00+00:00,145.52,147.5,145.3,147.48,44953601.0,338732.0,146.719798,54.55326770313638,0
AMZN,2023-12-13 05:00:00+00:00,148.12,149.46,146.82,148.84,52767166.0,438503.0,148.231579,58.96283031003461,0
AMZN,2023-12-14 05:00:00+00:00,149.93,150.54,145.52,147.42,58403710.0,532178.0,147.841367,53.16274516693031,0
AMZN,2023-12-15 05:00:00+00:00,148.38,150.57,147.88,149.97,110089342.0,492773.0,149.478569,60.64876441453568,0
AMZN,2023-12-18 05:00:00+00:00,150.56,154.855,150.05,154.07,62515868.0,511223.0,153.318087,69.17859335302892,1
AMZN,2023-12-19 05:00:00+00:00,154.4,155.12,152.69,153.79,43176530.0,384210.0,153.715812,68.0930588046099,1
AMZN,2023-12-20 05:00:00+00:00,152.9,155.63,151.56,152.12,50330348.0,461546.0,153.698021,61.85838647317101,1
AMZN,2023-12-21 05:00:00+00:00,153.3,153.97,152.1,153.84,36311565.0,350198.0,153.087743,65.37479851449238,1
AMZN,2023-12-22 05:00:00+00:00,153.77,154.35,152.71,153.42,29514093.0,310942.0,153.550401,63.82736103004941,1
AMZN,2023-12-26 05:00:00+00:00,153.56,153.975,153.03,153.41,25069259.0,282665.0,153.406258,63.7886458284577,1
AMZN,2023-12-27 05:00:00+00:00,153.56,154.78,153.12,153.34,31435661.0,311508.0,153.653223,63.49829742626317,2
AMZN,2023-12-28 05:00:00+00:00,153.72,154.08,152.95,153.38,27059987.0,302006.0,153.526885,63.60025536090561,2
AMZN,2023-12-29 05:00:00+00:00,153.1,153.89,151.03,151.94,39823204.0,353441.0,152.320613,57.38584571638332,2
AMZN,2024-01-02 05:00:00+00:00,151.54,152.38,148.39,149.93,47342997.0,476537.0,149.845572,50.0365366873733,2
AMZN,2024-01-03 05:00:00+00:00,149.2,151.05,148.33,148.47,49428811.0,417048.0,149.518276,45.48029762876606,1
AMZN,2024-01-04 05:00:00+00:00,145.59,147.38,144.05,144.57,56043009.0,541423.0,145.438996,36.03974522267099,0
AMZN,2024-01-05 05:00:00+00:00,144.69,146.59,144.53,145.24,45153189.0,380387.0,145.485242,38.40519154534771,0
AMZN,2024-01-08 05:00:00+00:00,146.74,149.4,146.15,149.1,46760967.0,410846.0,148.267426,49.90077686719877,0
AMZN,2024-01-09 05:00:00+00:00,148.33,151.71,148.21,151.37,43816462.0,403129.0,150.616643,55.19646604708305,0
AMZN,2024-01-10 05:00:00+00:00,152.06,154.42,151.881,153.73,44473689.0,430679.0,153.477739,59.937766553805965,1
AMZN,2024-01-11 05:00:00+00:00,155.04,157.17,153.12,155.18,49079757.0,468233.0,155.051405,62.55938152112471,2
AMZN,2024-01-12 05:00:00+00:00,155.39,156.2,154.01,154.62,40484155.0,351914.0,154.839147,60.90182344190409,1
AMZN,2024-01-16 05:00:00+00:00,153.53,154.99,152.15,153.16,41390767.0,396196.0,153.148281,56.68492269709072,0
AMZN,2024-01-17 05:00:00+00:00,151.49,152.15,149.91,151.71,34959922.0,354766.0,151.180781,52.77648347867962,0
AMZN,2024-01-18 05:00:00+00:00,152.77,153.775,151.82,153.5,37859159.0,344971.0,153.102595,56.74176738635797,0
AMZN,2024-01-19 05:00:00+00:00,153.83,155.76,152.74,155.34,51651628.0,408186.0,154.525295,60.42079079982604,1
